photos_count,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,professional_management,min_nights,cancellation_policy,cleaning_fee,extra_guest_fee,num_reviews,ttm_revenue,ttm_avg_rate,ttm_blocked_days,ttm_total_days,distance_from_city_center,city_population,luxury_score,basic_count,comfort_count,kitchen_count,safety_count,outdoor_count,family_count,services_count,has_pool,has_hot_tub,has_gym,has_beach_access,has_dedicated_workspace,has_pets_allowed,has_free_parking_on_premises,has_air_conditioning,total_amenities,comfort_to_total_ratio,rarity_score,avg_rating,listing_type_apartment,listing_type_bungalow,listing_type_condo,listing_type_home,listing_type_hospitality,listing_type_loft,listing_type_luxury_unique,listing_type_nature_stay,listing_type_other,listing_type_unique_stay,listing_type_villa,room_type_entire_home,room_type_hotel_room,room_type_private_room,room_type_shared_room,geographic_zone_Africa,geographic_zone_Asia Pacific,geographic_zone_Europe,geographic_zone_Latin America,geographic_zone_Middle East,geographic_zone_Northern America
9.0,0,5.627,-0.1727,2.0,1.0,1.0,1.0,0,0,2.0,5,0.0,0.0,5.135798437050262,9.549523217290366,4.178992036282385,0,365,1.6945165967013984,101207,7,4,3,6,4,2,0,2,1,0,1,0,0,0,1,1,33,0.09,0.0013247778225680803,4.758571428571429,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
29.0,0,5.6059,-0.0917,6.0,3.0,4.0,2.0,0,0,5.0,5,30.0,0.0,1.3862943611198906,8.435766192720509,4.092676505121403,70,365,0.9933139928538197,70483,0,4,3,6,1,2,2,1,0,0,0,0,1,0,1,1,44,0.07,0.0031108486099812763,4.852857142857142,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
21.0,1,5.6825,-0.1751,4.0,2.0,1.0,0.0,0,0,3.0,7,9.0,0.0,3.091042453358316,7.018401799069201,2.5877640352277083,14,365,1.189296056818465,101207,0,4,1,3,0,1,0,0,0,0,0,0,0,0,1,0,15,0.06,0.000431783476209808,4.864285714285714,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
40.0,1,5.6824,-0.1753,4.0,2.0,1.0,0.0,0,0,3.0,7,10.0,5.0,3.9318256327243257,6.824373670043086,2.9652730660692823,46,365,1.1905089535254474,101207,0,3,2,5,0,1,0,2,0,0,0,0,1,0,1,1,30,0.06,0.0016055450886388004,4.771428571428571,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
35.0,1,5.6384,-0.1693,6.0,3.0,3.0,3.5,0,0,3.0,4,30.0,0.0,4.48863636973214,10.174468433264497,5.028475212224587,7,365,1.4167651355774444,101207,0,4,2,6,3,3,0,0,0,0,0,0,1,0,1,1,38,0.05,0.002073412919392031,4.9399999999999995,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
28.0,0,5.6358,-0.1614,6.0,3.0,3.0,2.0,0,0,2.0,7,30.0,0.0,1.0986122886681098,7.338888133838879,4.993149979755236,0,365,1.4680960500380449,101207,0,3,2,5,0,0,0,1,0,0,0,0,0,0,1,1,22,0.09,0.0008152052098536021,4.859999999999999,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
68.0,1,5.6825,-0.1752,4.0,2.0,1.0,0.0,0,0,3.0,7,19.0,5.0,4.418840607796598,8.230577217146454,3.0587070727153796,0,365,1.1912620536708023,101207,0,4,1,6,0,1,0,3,0,0,0,0,1,1,1,0,33,0.03,0.002746786501905289,4.824285714285714,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
6.0,0,5.595,-0.1195,4.0,2.0,3.0,2.0,0,0,2.0,8,0.0,12.0,1.0986122886681098,6.073044534100405,3.708682081410116,0,365,1.0489403679763263,144013,7,4,1,5,4,4,0,3,0,1,1,0,1,1,1,0,41,0.02,0.0031195816499898763,4.859999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
16.0,1,5.6825,-0.1754,4.0,2.0,1.0,0.0,0,0,2.0,7,5.0,4.0,3.367295829986474,7.632885505395133,2.7536607123542622,60,365,1.1952142678687614,101207,0,4,1,5,0,1,0,0,0,0,0,0,1,0,1,0,20,0.05,0.0008783441663067874,4.708571428571429,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
12.0,1,5.5616,-0.1937,2.0,1.0,1.0,1.0,0,0,1.0,8,0.0,0.0,4.852030263919617,8.345930261979017,3.828641396489095,106,365,0.5390775850959977,1963264,0,4,2,5,3,2,1,2,0,0,0,0,0,0,1,1,30,0.06,0.0011060274395027843,4.85,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
11.0,0,5.6267,-0.1709,4.0,2.0,3.0,3.0,0,0,5.0,5,40.0,0.0,4.2626798770413155,9.543521484499182,4.613138355637268,45,365,1.6925308889615118,101207,7,4,2,5,2,2,0,1,1,0,1,0,0,0,1,1,28,0.07,0.0014021564372078536,4.88,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
15.0,0,5.5586,-0.1802,3.0,2.0,2.0,2.5,0,0,1.0,5,20.0,0.0,4.465908118654584,8.524168805152662,4.185098925490565,0,365,0.531622094071058,44000,0,4,2,5,2,1,0,2,0,0,0,0,1,0,1,1,27,0.07,0.0013092582028342561,4.908571428571428,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
11.0,0,5.5625,-0.1757,4.0,2.0,2.0,1.0,0,0,2.0,5,0.0,0.0,5.062595033026967,8.325063693631197,4.072439726834051,67,365,0.8410459312886982,44000,0,4,2,6,1,2,0,2,0,0,0,0,1,0,1,1,29,0.07,0.001561152296196037,4.841428571428571,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
15.0,1,5.5614,-0.1935,2.0,1.0,1.0,1.0,0,0,1.0,8,0.0,0.0,5.484796933490655,9.013351778138825,3.883623530906448,70,365,0.5345795138447017,1963264,0,4,2,5,3,2,1,2,0,0,0,0,0,0,1,1,31,0.06,0.0012238266412005641,4.914285714285714,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
17.0,1,5.6236,-0.1802,2.0,1.0,1.0,1.0,0,0,3.0,5,20.0,16.0,3.7376696182833684,6.985641817639208,3.6988297849671046,0,365,1.8018452062013304,101207,2,4,2,6,3,3,0,2,0,0,0,0,1,0,1,1,38,0.05,0.0020862686695830475,4.861428571428571,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
5.0,0,5.6205,-0.1952,2.0,2.0,2.0,2.0,0,0,2.0,4,0.0,0.0,3.8918202981106265,6.490723534502507,3.919991175077323,31,365,1.8857914647118148,48285,0,4,2,4,0,2,0,0,0,0,0,0,0,0,0,1,17,0.11,0.0006732533492302526,4.824285714285714,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
16.0,0,5.6275,-0.1653,4.0,2.0,2.0,2.0,0,0,5.0,5,40.0,0.0,4.174387269895637,9.26539657772426,4.6549122778829055,83,365,1.6612537096881077,101207,7,4,2,5,2,3,0,1,1,0,1,0,0,0,1,1,33,0.06,0.0017092717972287874,4.855714285714286,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
36.0,0,5.6366,-0.1636,8.0,4.0,8.0,2.0,0,0,6.0,5,50.0,0.0,3.713572066704308,9.208538750029554,5.3442462984364365,0,365,1.446312085534698,101207,3,4,2,5,3,3,0,2,1,0,0,0,0,0,1,1,46,0.04,0.0026218574238206236,4.904285714285714,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
36.0,1,5.6117,-0.1814,4.0,2.0,1.0,0.0,0,0,3.0,5,30.0,30.0,5.099866427824199,9.093357016490364,4.33729074083249,180,365,1.9567758013600944,44000,0,2,3,3,2,3,1,3,0,0,0,0,1,0,1,1,41,0.07,0.002482510061816557,4.9799999999999995,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
10.0,0,5.5799,-0.1609,5.0,2.0,2.0,2.0,0,0,7.0,5,10.0,0.0,3.713572066704308,8.063692634269517,4.9924713234685845,0,365,1.5645004862280378,44000,7,4,2,5,1,1,0,1,1,0,1,0,0,0,1,1,28,0.07,0.0013643358302718612,4.654285714285714,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
17.0,1,5.5603,-0.1931,3.0,2.0,2.0,2.0,0,0,1.0,8,0.0,0.0,4.770684624465665,8.328934041955529,4.478472532942134,147,365,0.4917078884955453,1963264,0,4,2,5,4,3,0,2,0,0,0,0,0,0,1,1,35,0.06,0.001571948336444585,4.875714285714286,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
13.0,1,5.6229,-0.1794,4.0,2.0,1.0,0.0,0,0,3.0,5,20.0,18.0,3.6109179126442243,7.403670290012373,3.742420221041966,0,365,1.8084604743595227,101207,2,4,2,6,4,3,0,2,0,0,0,0,1,1,1,1,49,0.04,0.003009126744466007,4.877142857142857,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
32.0,0,5.5701,-0.1762,4.0,2.0,1.0,0.0,0,0,2.0,5,15.0,0.0,4.060443010546419,7.313220387090301,4.418840607796598,143,365,1.0361515020568097,44000,0,4,2,6,2,3,0,2,0,0,0,0,1,0,1,1,46,0.04,0.004108906382643101,4.935714285714285,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
33.0,1,5.6345,-0.1715,4.0,2.0,1.0,0.0,0,0,1.0,5,6.0,0.0,4.962844630259907,6.97914527506881,4.174387269895637,30,365,1.5267605691859516,101207,5,3,1,3,2,4,0,2,1,0,0,0,1,0,1,1,31,0.03,0.0017551731691896819,4.868571428571428,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
